,County,Violent crime,"Murder and 
nonnegligent 
manslaughter","Forcible 
rape",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson
,Benton,26,0,5,1,20,184,51,121,12,3
,Clackamas,225,4,35,107,79,"6,102","1,097","4,582",423,18
,Deschutes,156,2,15,7,132,983,215,705,63,12
,Jackson,177,0,12,6,159,989,228,686,75,7
,Lane,242,3,25,15,199,"1,039",474,461,104,13
,Multnomah,81,0,3,21,57,"1,015",120,835,60,2
,Polk,47,2,7,1,37,261,71,173,17,3
,Washington,267,2,73,33,159,"2,509",515,"1,824",170,29
,Yamhill,25,0,3,1,21,569,137,398,34,10
,Baker,1,0,1,0,0,19,6,11,2,0
,Clatsop,6,0,2,0,4,182,60,110,12,3
,Coos,77,3,7,3,64,488,160,290,38,6
,Crook,22,0,3,2,17,120,55,63,2,2
,Curry,22,0,0,0,22,251,72,161,18,1
,Douglas,42,2,13,8,19,823,242,507,74,19
,Gilliam,0,0,0,0,0,16,2,13,1,0
,Grant,0,0,0,0,0,32,4,24,4,1
,Harney,3,0,0,0,3,22,12,9,1,1
,Jefferson,4,0,2,1,1,242,68,145,29,1
,Lake,1,0,0,0,1,31,10,21,0,0
,Lincoln,42,1,8,1,32,357,129,211,17,3
,Linn,40,2,11,7,20,"1,017",276,668,73,8
,Morrow,11,1,3,1,6,122,17,100,5,1
,Sherman,0,0,0,0,0,45,3,39,3,0
,Tillamook,8,2,1,2,3,293,90,179,24,0
,Umatilla,62,1,6,4,51,411,119,249,43,2
,Union,10,0,0,0,10,175,44,124,7,3
,Wasco,3,1,0,1,1,171,51,107,13,1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
