County,Violent crime,"Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Marion,8.0,0.0,0.0,,0.0,8.0,175.0,21.0,141.0,13.0,0.0
Mercer,3.0,1.0,0.0,,0.0,2.0,21.0,6.0,15.0,0.0,0.0
Miller,66.0,0.0,3.0,,1.0,62.0,270.0,83.0,177.0,10.0,3.0
Mississippi,7.0,1.0,0.0,,0.0,6.0,61.0,12.0,46.0,3.0,0.0
Monroe,2.0,0.0,0.0,,0.0,2.0,57.0,19.0,34.0,4.0,0.0
Montgomery,4.0,0.0,0.0,,0.0,4.0,74.0,36.0,36.0,2.0,0.0
Morgan,19.0,0.0,0.0,,0.0,19.0,245.0,102.0,119.0,24.0,0.0
New Madrid,11.0,0.0,1.0,,0.0,10.0,43.0,13.0,25.0,5.0,1.0
Nodaway,8.0,0.0,0.0,,1.0,7.0,51.0,23.0,23.0,5.0,0.0
Oregon,10.0,0.0,0.0,,0.0,10.0,57.0,21.0,32.0,4.0,0.0
Ozark,12.0,0.0,2.0,,0.0,10.0,96.0,34.0,55.0,7.0,2.0
Pemiscot,7.0,1.0,1.0,,1.0,4.0,130.0,49.0,77.0,4.0,0.0
Perry,19.0,0.0,3.0,,0.0,16.0,70.0,27.0,38.0,5.0,1.0
Pettis,20.0,1.0,3.0,,1.0,15.0,279.0,51.0,210.0,18.0,0.0
Phelps,67.0,1.0,1.0,,0.0,65.0,259.0,57.0,186.0,16.0,3.0
Pike,9.0,0.0,1.0,,1.0,7.0,57.0,27.0,24.0,6.0,0.0
Pulaski,70.0,2.0,2.0,,5.0,61.0,315.0,114.0,167.0,34.0,0.0
Ralls,6.0,0.0,0.0,,0.0,6.0,67.0,14.0,49.0,4.0,0.0
Randolph,6.0,0.0,0.0,,0.0,6.0,79.0,27.0,46.0,6.0,0.0
Reynolds,14.0,0.0,4.0,,0.0,10.0,49.0,16.0,26.0,7.0,3.0
Ripley,14.0,0.0,0.0,,2.0,12.0,212.0,63.0,136.0,13.0,0.0
Saline,4.0,0.0,1.0,,0.0,3.0,83.0,25.0,44.0,14.0,2.0
Schuyler,7.0,0.0,1.0,,1.0,5.0,38.0,13.0,17.0,8.0,5.0
Scotland,2.0,0.0,0.0,,0.0,2.0,21.0,3.0,14.0,4.0,0.0
Scott,126.0,0.0,6.0,,3.0,117.0,249.0,62.0,180.0,7.0,2.0
Shannon,9.0,2.0,0.0,,0.0,7.0,54.0,12.0,34.0,8.0,0.0
Shelby,1.0,0.0,0.0,,0.0,1.0,21.0,11.0,10.0,0.0,0.0
St. Clair,28.0,0.0,1.0,,0.0,27.0,131.0,35.0,85.0,11.0,1.0
Ste. Genevieve,47.0,0.0,6.0,,0.0,41.0,124.0,30.0,85.0,9.0,0.0
St. Francois,56.0,4.0,6.0,,1.0,45.0,472.0,133.0,273.0,66.0,2.0
Stoddard,20.0,0.0,2.0,,1.0,17.0,142.0,50.0,82.0,10.0,0.0
Stone,132.0,0.0,11.0,,2.0,119.0,387.0,127.0,234.0,26.0,2.0
Sullivan,8.0,0.0,1.0,,0.0,7.0,62.0,34.0,18.0,10.0,0.0
Taney,82.0,0.0,5.0,,2.0,75.0,370.0,114.0,206.0,50.0,0.0
Texas,17.0,0.0,0.0,,0.0,17.0,242.0,100.0,113.0,29.0,3.0
Vernon,52.0,4.0,4.0,,1.0,43.0,263.0,79.0,156.0,28.0,3.0
Washington,66.0,0.0,11.0,,2.0,53.0,295.0,85.0,171.0,39.0,3.0
Wayne,27.0,0.0,0.0,,1.0,26.0,223.0,84.0,112.0,27.0,0.0
Worth,2.0,0.0,1.0,,0.0,1.0,46.0,29.0,12.0,5.0,0.0
Wright,27.0,1.0,1.0,,0.0,25.0,75.0,20.0,40.0,15.0,0.0
