,County,Violent crime,"Murder and 
nonnegligent 
manslaughter","Forcible 
rape",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson,
,Adams County,385,2,57,59,267,"2,413",622,"1,431",360,20,
,Arapahoe County,236,0,29,45,162,"1,313",350,856,107,19,
,Boulder County,65,1,11,1,52,554,164,360,30,16,
,Clear Creek County,17,0,4,0,13,68,30,33,5,1,
,Douglas County,312,2,197,15,98,"1,812",406,"1,317",89,21,
,El Paso County,486,2,62,15,407,"2,097",604,"1,314",179,27,
,Gilpin County,2,0,1,0,1,25,5,19,1,0,
,Jefferson County,127,0,20,18,89,"2,323",437,"1,779",107,15,
,Larimer County,107,0,18,3,86,973,252,669,52,21,
,Mesa County,181,1,15,12,153,"1,201",292,842,67,6,
,Park County,7,0,0,0,7,110,37,61,12,1,
,Pueblo County,28,1,0,6,21,"1,545",331,"1,157",57,0,
,Teller County,23,1,1,0,21,78,34,43,1,1,
,Weld County,185,5,17,8,155,772,252,435,85,9,
,Alamosa County,1,0,0,0,1,37,10,27,0,0,
,Archuleta County,15,3,2,0,10,10,4,5,1,0,
,Bent County,2,0,0,1,1,26,7,19,0,1,
,Chaffee County,8,0,2,0,6,89,16,68,5,1,
,Cheyenne County,0,0,0,0,0,3,0,3,0,0,
,Crowley County,4,0,0,0,4,0,0,0,0,0,
,Custer County,7,0,0,0,7,33,8,23,2,0,
,Delta County,19,0,7,0,12,120,25,86,9,2,
,Dolores County,3,0,1,0,2,22,13,7,2,0,
,Eagle County,25,0,4,0,21,386,90,296,0,4,
,Fremont County,36,0,0,1,35,237,96,131,10,2,
,Grand County,10,0,0,0,10,89,10,79,0,0,
,Gunnison County,8,0,0,0,8,32,7,23,2,0,
,Hinsdale County,1,0,0,0,1,12,4,8,0,0,
,Huerfano County,3,0,0,0,3,8,4,4,0,0,
,Kit Carson County,2,0,0,0,2,16,2,11,3,0,
,Las Animas County,0,0,0,0,0,0,0,0,0,0,
,Lincoln County,4,2,0,0,2,0,0,0,0,0,
,Logan County,10,0,2,1,7,110,45,57,8,0,
,Moffat County,4,0,1,0,3,20,8,7,5,1,
,Montezuma County,31,0,2,0,29,163,60,93,10,1,
,Montrose County,36,2,5,0,29,155,36,102,17,0,
,Morgan County,2,0,0,1,1,40,8,30,2,0,
,Otero County,5,0,0,1,4,62,26,36,0,2,
,Ouray County,3,0,0,0,3,12,3,8,1,0,
,Phillips County,0,0,0,0,0,3,1,2,0,0,
,Pitkin County,14,0,0,0,14,50,5,44,1,0,
,Prowers County,8,0,1,0,7,20,8,12,0,0,
,Rio Grande County,4,0,1,1,2,53,11,38,4,2,
,Routt County,12,0,0,0,12,77,21,54,2,1,
,San Juan County,2,0,0,0,2,25,1,19,5,1,
,San Miguel County,0,0,0,0,0,20,7,12,1,1,
,Sedgwick County,7,0,0,0,7,19,5,13,1,0,
,Washington County,14,0,3,0,11,82,21,57,4,0,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
