,County,Violent crime,"Murder and 
nonnegligent 
manslaughter","Forcible 
rape",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson
,Alameda,651.0,5.0,23.0,206.0,417.0,"2,662.0",730.0,"1,182.0",750.0,8.0
,Butte,126.0,8.0,8.0,16.0,94.0,"1,165.0",481.0,676.0,8.0,1.0
,Contra Costa,472.0,10.0,25.0,120.0,317.0,"2,307.0",993.0,"1,298.0",16.0,13.0
,El Dorado,241.0,3.0,14.0,22.0,202.0,"2,024.0",766.0,"1,240.0",18.0,9.0
,Fresno,825.0,15.0,20.0,136.0,654.0,"5,248.0","1,934.0","2,366.0",948.0,191.0
,Imperial,139.0,0.0,6.0,12.0,121.0,791.0,352.0,419.0,20.0,10.0
,Kern,"2,179.0",22.0,85.0,490.0,"1,582.0","11,713.0","4,015.0","5,592.0","2,106.0",285.0
,Kings,183.0,1.0,13.0,19.0,150.0,515.0,207.0,263.0,45.0,8.0
,Los Angeles,"5,458.0",75.0,161.0,"1,490.0","3,732.0","16,981.0","4,816.0","8,223.0","3,942.0",207.0
,Madera,353.0,0.0,14.0,19.0,320.0,"1,660.0",794.0,840.0,26.0,8.0
,Marin,107.0,0.0,3.0,25.0,79.0,733.0,218.0,511.0,4.0,4.0
,Merced,544.0,8.0,15.0,45.0,476.0,"2,036.0",741.0,"1,267.0",28.0,5.0
,Monterey,199.0,7.0,17.0,63.0,112.0,"1,336.0",523.0,792.0,21.0,11.0
,Napa,53.0,0.0,4.0,3.0,46.0,342.0,115.0,226.0,1.0,0.0
,Orange,258.0,0.0,9.0,33.0,216.0,"1,405.0",338.0,954.0,113.0,3.0
,Placer,278.0,0.0,24.0,27.0,227.0,"1,670.0",568.0,"1,069.0",33.0,11.0
,Riverside,831.0,18.0,22.0,183.0,608.0,"8,197.0","2,633.0","4,354.0","1,210.0",19.0
,Sacramento,"3,047.0",32.0,186.0,999.0,"1,830.0","12,936.0","4,645.0","8,190.0",101.0,55.0
,San Benito,55.0,0.0,3.0,7.0,45.0,273.0,76.0,182.0,15.0,0.0
,San Bernardino,988.0,13.0,61.0,164.0,750.0,"6,460.0","2,317.0","2,919.0","1,224.0",62.0
